ItemID,Sentiment,SentimentText,,,
3001,0, i really don't want to go to school,,,
3002,0, I really liked Max.  He was one of my favorites #SYTYCD,,,
3003,0, I really miss you. you don't understand how much you really mean to me.,,,
3004,0, i really want to go to the katy perry concertt.,,,
3005,0, I really wanted her to win lol. I kinda guessed Diversity were gonna to win anyway. ,,,
3006,0, i really wanted to meet you and the wonder girls. good luck! is there any way i can try out to be part of your company? it's my dream!,,,
3007,1," i rocked summerrs Dot Dot Curve  shirt, pinstriped skinnys, Chuck hightops, 3D glasses, 200 yen necklace",,,
3008,0, i run all out of people. oh well that was a pretty successful hunt haha ;D now i need a bunch of people to add me so i have more victims.,,,
3009,1, I SAID IT! i like him teehheee,,,
3010,0, i so dont have enough icon space on lj.,,,
3011,0, i so dont know what im doing on here its all so new,,,
3012,0," I spent my sunday arvo, with a bottom feeding vulture, stuck up lawyer chick, gawd there the lowest of scum",,,
3013,0, i start working 2morrow..there goes 6weeks of my summer,,,
3014,0, i still cant get twitter on my phone it wont even take my number when i try to set it up  ,,,
3015,0, i still get teary eyed when i see p.s. i love you,,,
3016,0, i think he's cheating on me...will post story on @061004     T_T,,,
3017,0, my show today at Tavern on the Green 4 Make Music NY is canceled due to rain... growl!!,,,
3018,0, my sis left twilight at her fiances! boo! k thunderstorm waterfall it is. goodnight,,,
3019,0, MY SON'S NOW IN COLOMBIA UNTIL AUGUST. I WONT SEE HIM TIL THEN. I MISS MY CHU CHU! BUT IM NOT GOING TO IRAQ!! YESSSSS!!!,,,
3020,0, my thumb skin hurts coz its not there,,,
3021,0, My thumbs hurt from cutting pappper.,,,
3022,0, My tummy hurts. ,,,
3023,0, my tummy hurtsssss.,,,
3024,0, my tummy really hurts now oh noes,,,
3025,0," My turtle food! Its starving. ;( Im sorry, turtles. ;( I promise i buy tmr. ;(",,,
3026,0, my tv died ~Tim~,,,
3027,1, My video is almost uploaded!,,,
3028,0, my video's being weird #ChuckMeMondays #chuck!!,,,
3029,0, My wrists&amp;arms hurt.,,,
3030,0, Need for speed High stakes doesn't work with compatibility mode on. DAAMN YOU EA FOR MAKING A GOOD GAME THATS TO GOOD TO BE TRUUUEE,,,
3031,0," net  won't work, might aswell go to sleep.",,,
3032,0, never again ,,,
3033,0, Never waking up late again missed an awesome dress T3T,,,
3034,0,"- new haircut, it's shorter ",,,
3035,0, new moon trailer not as awesome as I hoped...,,,
3036,0, new sandals were damaged in great fall yesterday...,,,
3037,1, nice song..http://bit.ly/iCMV2,,,
